iter	Passed	Remaining
0	144	144168
1	145	72462
2	146	48562
3	146	36593
4	147	29414
5	148	24616
6	149	21190
7	150	18626
8	151	16633
9	152	15054
10	152	13755
11	153	12661
12	154	11733
13	155	10949
14	156	10285
15	157	9693
16	158	9163
17	159	8699
18	160	8277
19	161	7899
20	161	7550
21	162	7237
22	163	6949
23	164	6691
24	165	6449
25	166	6227
26	167	6020
27	167	5827
28	168	5643
29	169	5473
30	170	5332
31	171	5191
32	172	5057
33	173	4928
34	174	4811
35	175	4696
36	176	4585
37	177	4481
38	177	4380
39	178	4285
40	179	4194
41	180	4111
42	181	4030
43	182	3954
44	182	3880
45	183	3812
46	185	3753
47	186	3689
48	187	3634
49	188	3573
50	189	3518
51	190	3463
52	190	3411
53	191	3359
54	192	3309
55	193	3261
56	194	3213
57	195	3169
58	195	3124
59	196	3081
60	197	3039
61	198	2999
62	199	2963
63	200	2931
64	201	2898
65	202	2867
66	203	2839
67	204	2809
68	205	2778
69	206	2748
70	207	2717
71	208	2689
72	209	2661
73	210	2633
74	211	2607
75	212	2579
76	212	2552
77	213	2525
78	214	2499
79	215	2475
80	216	2451
81	217	2430
82	217	2404
83	218	2381
84	219	2360
85	220	2339
86	220	2318
87	221	2298
88	222	2280
89	223	2261
90	224	2242
91	225	2224
92	226	2204
93	226	2186
94	227	2170
95	228	2152
96	229	2136
97	230	2121
98	231	2105
99	232	2092
100	233	2076
101	234	2062
102	235	2048
103	236	2033
104	236	2019
105	237	2004
106	238	1990
107	239	1977
108	240	1963
109	241	1951
110	242	1938
111	242	1925
112	243	1911
113	244	1897
114	245	1886
115	246	1875
116	246	1862
117	247	1850
118	248	1837
119	248	1825
120	249	1813
121	250	1801
122	250	1789
123	251	1777
124	252	1766
125	253	1755
126	253	1743
127	254	1733
128	255	1723
129	255	1712
130	256	1702
131	257	1691
132	258	1682
133	258	1672
134	259	1664
135	260	1656
136	261	1648
137	262	1639
138	263	1631
139	264	1622
140	264	1614
141	265	1604
142	266	1596
143	267	1588
144	267	1579
145	268	1571
146	269	1563
147	270	1555
148	270	1547
149	271	1539
150	272	1532
151	273	1524
152	273	1516
153	274	1508
154	275	1501
155	276	1494
156	277	1487
157	277	1480
158	278	1474
159	279	1466
160	279	1458
161	280	1451
162	281	1444
163	282	1438
164	282	1431
165	283	1425
166	284	1418
167	285	1412
168	285	1405
169	286	1399
170	287	1393
171	288	1387
172	289	1382
173	289	1376
174	290	1370
175	292	1368
176	293	1364
177	294	1360
178	295	1354
179	296	1348
180	296	1343
181	297	1337
182	298	1331
183	298	1325
184	299	1319
185	300	1315
186	301	1310
187	302	1305
188	303	1300
189	303	1295
190	304	1290
191	305	1286
192	306	1282
193	307	1278
194	308	1273
195	309	1269
196	310	1264
197	310	1259
198	311	1254
199	312	1250
200	313	1245
201	314	1240
202	314	1235
203	315	1231
204	316	1226
205	317	1222
206	317	1218
207	318	1213
208	319	1209
209	320	1205
210	321	1202
211	322	1198
212	323	1194
213	323	1189
214	324	1185
215	325	1181
216	326	1178
217	327	1173
218	328	1169
219	328	1166
220	329	1162
221	330	1158
222	331	1154
223	332	1150
224	332	1146
225	333	1143
